t,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2
4.099999999999912603e-01,-1.181159582780888062e+00,-3.907783971698371994e-01,-2.486870051978986584e-01,-3.918032254081864063e-01,-1.150783782089530999e-04,-3.455952281265773501e-02,-5.807804740671397292e-01,-1.063084249051880342e-01
4.199999999999910472e-01,-1.183579490066568152e+00,-3.945330805929553875e-01,-2.486862877110327663e-01,-3.921487671740863101e-01,2.588334972252752560e-04,-3.454905785636731147e-02,-5.817039112203686857e-01,-1.063135228721718423e-01
4.299999999999908340e-01,-1.186000127766458023e+00,-3.982927427472430226e-01,-2.486818240684916803e-01,-3.924942104039057522e-01,6.341389530355837382e-04,-3.453979235454319313e-02,-5.826290847316606403e-01,-1.063184619233138728e-01
4.399999999999906208e-01,-1.188421456810630383e+00,-4.020573784527635697e-01,-2.486736007179635999e-01,-3.928395664421870936e-01,1.010761286300213783e-03,-3.453159581735810307e-02,-5.835559014670395062e-01,-1.063232703069721258e-01
4.499999999999904077e-01,-1.190843437262120386e+00,-4.058269811567447038e-01,-2.486616048742320284e-01,-3.931848453151772782e-01,1.388623787574779769e-03,-3.452433509729125466e-02,-5.844842686458069370e-01,-1.063279751921821364e-01
4.599999999999901945e-01,-1.193266028344498464e+00,-4.096015429643478090e-01,-2.486458245190560357e-01,-3.935300557048295178e-01,1.767649777703235187e-03,-3.451787450231558890e-02,-5.854140938297085484e-01,-1.063326026581986744e-01
4.699999999999899813e-01,-1.195689188469672759e+00,-4.133810546696750632e-01,-2.486262484006865614e-01,-3.938752049238847808e-01,2.147762643969375329e-03,-3.451207589982852736e-02,-5.863452849061704386e-01,-1.063371776847531619e-01
4.799999999999897682e-01,-1.198112875265878730e+00,-4.171655057869669836e-01,-2.486028660330258933e-01,-3.942202988919466522e-01,2.528885875034302642e-03,-3.450679881193686321e-02,-5.872777500656102267e-01,-1.063417241430218707e-01
4.899999999999895550e-01,-1.200537045605835296e+00,-4.209548845819423568e-01,-2.485756676944390342e-01,-3.945653421124908911e-01,2.910943095956889173e-03,-3.450190050646729373e-02,-5.882113977729260812e-01,-1.063462647872980282e-01
4.999999999999893419e-01,-1.202961655635049087e+00,-4.247491781032397551e-01,-2.485446444262151278e-01,-3.949103376507484553e-01,3.293858103360227697e-03,-3.449723608166255923e-02,-5.891461367332907484e-01,-1.063508212473701225e-01
5.099999999999891287e-01,-1.205386660800205068e+00,-4.285483722139092344e-01,-2.485097880306719187e-01,-3.952552871124129230e-01,3.677554901291697504e-03,-3.449265854543748927e-02,-5.900818758523821428e-01,-1.063554140216180915e-01
5.199999999999889155e-01,-1.207812015877656631e+00,-4.323524516229182990e-01,-2.484710910688995578e-01,-3.956001906231082499e-01,4.061957738040872928e-03,-3.448801888866760007e-02,-5.910185241911897203e-01,-1.063600624708485320e-01
5.299999999999887024e-01,-1.210237675001959667e+00,-4.361613999166105704e-01,-2.484285468581272915e-01,-3.959450468085692343e-01,4.446991144511468728e-03,-3.448316615511926725e-02,-5.919559909155825972e-01,-1.063647848129085360e-01
5.399999999999884892e-01,-1.212663591694433052e+00,-4.399751995900904600e-01,-2.483821494686991038e-01,-3.962898527755112643e-01,4.832579974321347602e-03,-3.447794750929823043e-02,-5.928941852408611268e-01,-1.063695981181052852e-01
5.499999999999882760e-01,-1.215089718891715354e+00,-4.437938320784903246e-01,-2.483318937206341059e-01,-3.966346040931862937e-01,5.218649446879034329e-03,-3.447220830730957780e-02,-5.938330163715482835e-01,-1.063745183054546212e-01
5.599999999999880629e-01,-1.217516008974322883e+00,-4.476172777880612630e-01,-2.482777751797405619e-01,-3.969792947756684565e-01,5.605125193603824676e-03,-3.446579217097901077e-02,-5.947723934367133980e-01,-1.063795601397683754e-01
5.699999999999878497e-01,-1.219942413795132685e+00,-4.514455161270657380e-01,-2.482197901532471052e-01,-3.973239172648999618e-01,5.991933308371424384e-03,-3.445854106659541199e-02,-5.957122254211405510e-01,-1.063847372295892157e-01
5.799999999999876366e-01,-1.222368884707799364e+00,-4.552785255364250605e-01,-2.481579356849125950e-01,-3.976684624145342406e-01,6.379000401429209439e-03,-3.445029538499956578e-02,-5.966524210927057759e-01,-1.063900620259815299e-01
5.899999999999874234e-01,-1.224795372595066878e+00,-4.591162835200846004e-01,-2.480922095495729507e-01,-3.980129194746019339e-01,6.766253658016048618e-03,-3.444089402576679115e-02,-5.975928889263325550e-01,-1.063955458222113626e-01
5.999999999999872102e-01,-1.227221827896953110e+00,-4.629587666750596409e-01,-2.480226102470782512e-01,-3.983572760770217602e-01,7.153620901908575892e-03,-3.443017448272191194e-02,-5.985335370249412756e-01,-1.064011987543623805e-01
6.099999999999869971e-01,-1.229648200638792321e+00,-4.668059507211293480e-01,-2.479491369955755808e-01,-3.987015182219810772e-01,7.541030662596760227e-03,-3.441797293196603713e-02,-5.994742730378127549e-01,-1.064070298029635153e-01
6.199999999999867839e-01,-1.232074440459099751e+00,-4.706578105301361115e-01,-2.478717897240933221e-01,-3.990456302652131138e-01,7.928412247288669709e-03,-3.440412432327568520e-02,-6.004150040767948227e-01,-1.064130467957060677e-01
