t,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2
5.999999999999872102e-01,-1.284356881179073095e+00,-2.221965550094618713e+00,-6.195080849250532706e-01,-6.566714418430689149e-01,6.538252897697423294e-02,2.741644937093993262e-01,-6.888467007732322900e-01,-1.126633172618550505e-01
6.099999999999869971e-01,-1.290494498597636541e+00,-2.228378427221263447e+00,-6.188471931265906445e-01,-6.539269021777822655e-01,6.679498231554155396e-02,2.747410511155227719e-01,-6.908253386147662489e-01,-1.124681159019134402e-01
6.199999999999867839e-01,-1.296625747576465537e+00,-2.234767007004873740e+00,-6.181722004060883346e-01,-6.511766632801551102e-01,6.820270818621944342e-02,2.753043399279224146e-01,-6.928064959613714491e-01,-1.122758554976215489e-01
6.299999999999865707e-01,-1.302750481262339388e+00,-2.241131179327249257e+00,-6.174831541898222476e-01,-6.484208578444001780e-01,6.960567546551535423e-02,2.758543583414034273e-01,-6.947900650103926434e-01,-1.120866011707447457e-01
6.399999999999863576e-01,-1.308868553068474716e+00,-2.247470833661120437e+00,-6.167801022374466147e-01,-6.456596185869112325e-01,7.100384862323923241e-02,2.763911037300385565e-01,-6.967759368520439756e-01,-1.119004164520937816e-01
6.499999999999861444e-01,-1.314979816688420344e+00,-2.253785859163019101e+00,-6.160630926854382405e-01,-6.428930782543043065e-01,7.239718784795931561e-02,2.769145726826675591e-01,-6.987640014565408286e-01,-1.117173632404142580e-01
6.599999999999859313e-01,-1.321084126110341872e+00,-2.260076144765505113e+00,-6.153321740892654379e-01,-6.401213696310649182e-01,7.378564917684207747e-02,2.774247610438644318e-01,-7.007541476629414179e-01,-1.115375017621270254e-01
6.699999999999857181e-01,-1.327181335631683057e+00,-2.266341579268731810e+00,-6.145873954642386838e-01,-6.373446255467867250e-01,7.516918462740855567e-02,2.779216639556262858e-01,-7.027462631697942719e-01,-1.113608905320035147e-01
6.799999999999855049e-01,-1.333271299874195570e+00,-2.272582051431253802e+00,-6.138288063250575410e-01,-6.345629788829451057e-01,7.654774232887316676e-02,2.784052759093317841e-01,-7.047402345276512214e-01,-1.111875863148641536e-01
6.899999999999852918e-01,-1.339353873799310701e+00,-2.278797450059975915e+00,-6.130564567240197604e-01,-6.317765625791418316e-01,7.792126665573183286e-02,2.788755907985045468e-01,-7.067359471335168397e-01,-1.110176440883976906e-01
6.999999999999850786e-01,-1.345428912723815484e+00,-2.284987664099248139e+00,-6.122703972879062206e-01,-6.289855096387901856e-01,7.928969836170988994e-02,2.793326019775437263e-01,-7.087332852273070527e-01,-1.108511170072047636e-01
7.099999999999848654e-01,-1.351496272335828142e+00,-2.291152582718977815e+00,-6.114706792535085089e-01,-6.261899531342142167e-01,8.065297471440485699e-02,2.797763023212322953e-01,-7.107321318903391250e-01,-1.106880563681598290e-01
7.199999999999846523e-01,-1.357555808711075063e+00,-2.297292095401731071e+00,-6.106573545018254556e-01,-6.233900262111256030e-01,8.201102963009476721e-02,2.802066842894905818e-01,-7.127323690459399508e-01,-1.105285115771713900e-01
7.299999999999844391e-01,-1.363607378329396491e+00,-2.303406092028759122e+00,-6.098304755908858787e-01,-6.205858620924288305e-01,8.336379381049043025e-02,2.806237399962101531e-01,-7.147338774622193913e-01,-1.103725301174228735e-01
7.399999999999842260e-01,-1.369650838091495793e+00,-2.309494462964884587e+00,-6.089900957872108611e-01,-6.177775940813231559e-01,8.471119488068008796e-02,2.810274612823343010e-01,-7.167365367570840418e-01,-1.102201575191784910e-01
7.499999999999840128e-01,-1.375686045335925867e+00,-2.315557099142155462e+00,-6.081362690958876938e-01,-6.149653555636525049e-01,8.605315752724171374e-02,2.814178397919358532e-01,-7.187402254055785811e-01,-1.100714373312185745e-01
7.599999999999837996e-01,-1.381712857856241206e+00,-2.321593892142288507e+00,-6.072690502892515996e-01,-6.121492800094820996e-01,8.738960363999018210e-02,2.817948670513486520e-01,-7.207448207496623960e-01,-1.099264110939508765e-01
7.699999999999835865e-01,-1.387731133918336246e+00,-2.327604734277775922e+00,-6.063884949341320496e-01,-6.093295009738556312e-01,8.872045245597375007e-02,2.821585345535165268e-01,-7.227501990105557050e-01,-1.097851183142494330e-01
7.799999999999833733e-01,-1.393740732277934491e+00,-2.333589518671653984e+00,-6.054946594176661145e-01,-6.065061520967064412e-01,9.004562070296982801e-02,2.825088338434250668e-01,-7.247562353038180527e-01,-1.096475964420709909e-01
7.899999999999831601e-01,-1.399741512198223292e+00,-2.339548139335869692e+00,-6.045876009716503185e-01,-6.036793671019156093e-01,9.136502274806113100e-02,2.828457566013958813e-01,-7.267628036573315908e-01,-1.095138808488718002e-01
7.999999999999829470e-01,-1.405733333467586554e+00,-2.345480491248161492e+00,-6.036673776953986881e-01,-6.008492797955420350e-01,9.267857074784829896e-02,2.831692947266034599e-01,-7.287697770323692259e-01,-1.093840048078378868e-01
8.099999999999827338e-01,-1.411716056417422260e+00,-2.351386470427475395e+00,-6.027340485770987799e-01,-5.980160240631995361e-01,9.398617479858036028e-02,2.834794404243384802e-01,-7.307770273479243794e-01,-1.092579994759364376e-01
8.199999999999825206e-01,-1.417689541940054143e+00,-2.357265974007823228e+00,-6.017876735136433730e-01,-5.951797338665708592e-01,9.528774309003115728e-02,2.837761862918004030e-01,-7.327844255084371428e-01,-1.091358938778175802e-01
8.299999999999823075e-01,-1.423653651506671336e+00,-2.363118900310591908e+00,-6.008283133289382683e-01,-5.923405432390357328e-01,9.658318205798868683e-02,2.840595254085526711e-01,-7.347918414350478322e-01,-1.090177148915830313e-01
8.399999999999820943e-01,-1.429608247185300218e+00,-2.368945148915189591e+00,-5.998560297906679883e-01,-5.894985862803949761e-01,9.787239653827099761e-02,2.843294514271728080e-01,-7.367991441004174691e-01,-1.089034872364352952e-01
8.499999999999818812e-01,-1.435553191658780925e+00,-2.374744620728043820e+00,-5.988708856255356983e-01,-5.866539971506828932e-01,9.915528991860422803e-02,2.845859586654559958e-01,-7.388062015671456040e-01,-1.087932334622088021e-01
