epoch,train_normalized_mse,validation_normalized_mse
1.540000000000000000e+02,2.485414827272818851e-03,1.495040625171310644e+00
1.550000000000000000e+02,2.566287266853598675e-03,1.495131155958210112e+00
1.560000000000000000e+02,2.602270063136272963e-03,1.510720728289937975e+00
1.570000000000000000e+02,2.579557085005089890e-03,1.506030872530019771e+00
1.580000000000000000e+02,2.495259449175191071e-03,1.507886657407855102e+00
1.590000000000000000e+02,2.317033672299957051e-03,1.502244845450232402e+00
1.600000000000000000e+02,2.435018269478913307e-03,1.508900258905416569e+00
1.610000000000000000e+02,2.347670290923228268e-03,1.497067242361651562e+00
1.620000000000000000e+02,2.331244035390069892e-03,1.500043230534846561e+00
1.630000000000000000e+02,2.464291279570373760e-03,1.495043534520507311e+00
1.640000000000000000e+02,2.571823974260649143e-03,1.500358955737198796e+00
1.650000000000000000e+02,2.339338781514164849e-03,1.500300541155183520e+00
1.660000000000000000e+02,2.538203966127870140e-03,1.497088443797776725e+00
1.670000000000000000e+02,2.360047177280959543e-03,1.494297708095400301e+00
1.680000000000000000e+02,2.295167609834614531e-03,1.500564746613000988e+00
1.690000000000000000e+02,2.415228357378637267e-03,1.496538118917150495e+00
1.700000000000000000e+02,2.320382345548669713e-03,1.501025658601484070e+00
1.710000000000000000e+02,2.376340302401441350e-03,1.502938828990343145e+00
1.720000000000000000e+02,2.361363451703947687e-03,1.495616574434436963e+00
1.730000000000000000e+02,2.378717662602819645e-03,1.502701368806925286e+00
1.740000000000000000e+02,2.528601507809385366e-03,1.494950403350029822e+00
1.750000000000000000e+02,2.342838332378530380e-03,1.509950196796983724e+00
1.760000000000000000e+02,2.385285872359969861e-03,1.491399970114643203e+00
1.770000000000000000e+02,2.258837858597143988e-03,1.492847634193710915e+00
1.780000000000000000e+02,2.301699428233167609e-03,1.496558708235585122e+00
1.790000000000000000e+02,2.375231681283720628e-03,1.496121608780614398e+00
1.800000000000000000e+02,2.407029984765720991e-03,1.484927642999105846e+00
1.810000000000000000e+02,2.227651162228457861e-03,1.489870625213860933e+00
1.820000000000000000e+02,2.246544746614094826e-03,1.494653093724439996e+00
1.830000000000000000e+02,2.274548782034670896e-03,1.496401185738872819e+00
1.840000000000000000e+02,2.300187832975016198e-03,1.482185872937100246e+00
1.850000000000000000e+02,2.282906362872841061e-03,1.490772162010301605e+00
1.860000000000000000e+02,2.631328793479235061e-03,1.479382007873970561e+00
1.870000000000000000e+02,2.339779150373965614e-03,1.495847763699826638e+00
1.880000000000000000e+02,2.534071180111238577e-03,1.489043916144335400e+00
1.890000000000000000e+02,2.423077230120990449e-03,1.490363163973956517e+00
1.900000000000000000e+02,2.459907523877096110e-03,1.495893876585929316e+00
1.910000000000000000e+02,2.262526554670669151e-03,1.493683540891083794e+00
1.920000000000000000e+02,2.196744049491025901e-03,1.485986755240916946e+00
1.930000000000000000e+02,2.489872414355781636e-03,1.485394465867021729e+00
1.940000000000000000e+02,2.234964928650278945e-03,1.489818452058137455e+00
1.950000000000000000e+02,2.219100534719542842e-03,1.493772066584267533e+00
1.960000000000000000e+02,2.231643396184417472e-03,1.489893704089293225e+00
1.970000000000000000e+02,2.260514344989035529e-03,1.489691059965624120e+00
1.980000000000000000e+02,2.422413736478690096e-03,1.494008307358241749e+00
1.990000000000000000e+02,2.304346091680598962e-03,1.497843348966692023e+00
2.000000000000000000e+02,2.261834337399969835e-03,1.484412008900301894e+00
2.010000000000000000e+02,2.416471012438729197e-03,1.486656358699764535e+00
